id,label,title,vra_similarity,category,color,size
0,"#1","Quantum Fourier Transform Based Denoising Unitary Filtering ",0.2051,Low-Medium,#1E88E5,20.3
1,"#2","Modern Computer Arithmetic version 0.5.1 ",0.1924,Low-Medium,#1E88E5,19.6
2,"#3","Optimizing the architecture for coherent beat note acquisiti",0.1600,Low-Medium,#1E88E5,18.0
3,"#4","Using the Magnitude-Squared Coherence for Determining Order-",0.1333,Very Low,#757575,16.7
4,"#5","Optimal Preprocessing for Joint Detection and Classification",0.1200,Very Low,#757575,16.0
5,"#6","Sample Efficient Estimation and Recovery in Sparse FFT via I",0.1178,Very Low,#757575,15.9
6,"#7","A Modular Small-Signal Analysis Framework for Inverter Penet",0.1067,Very Low,#757575,15.3
7,"#8","A discrete Fourier transform based quantum circuit for modul",0.1067,Very Low,#757575,15.3
8,"#9","Fourier Domain Analysis performances of a RESPER probe - Amp",0.1067,Very Low,#757575,15.3
9,"#10","GPS Multipath Detection in the Frequency Domain",0.1067,Very Low,#757575,15.3
10,"#11","HiFAST An HI Data Calibration and Imaging Pipeline for FAST ",0.1067,Very Low,#757575,15.3
11,"#12","KoopAGRU A Koopman-based Anomaly Detection in Time-Series us",0.1067,Very Low,#757575,15.3
12,"#13","Modular functions and Ramanujan sums for the analysis of 1 f",0.1067,Very Low,#757575,15.3
13,"#14","The GMRT High Resolution Southern Sky Survey for pulsars and",0.1067,Very Low,#757575,15.3
14,"#15","Deterministic Selection of Phase Sequences in Low Complexity",0.1029,Very Low,#757575,15.1
15,"#16","Digital Filters for Instantaneous Frequency Estimation",0.1029,Very Low,#757575,15.1
16,"#17","High Accuracy and Low Complexity Frequency Offset Estimation",0.1029,Very Low,#757575,15.1
17,"#18","Inter-Carrier Interference Mitigation for Differentially Coh",0.1029,Very Low,#757575,15.1
18,"#19","Stable Recovery from the Magnitude of Symmetrized Fourier Me",0.1029,Very Low,#757575,15.1
19,"#20","Correlation Functions of Classical and Quantum Artin System ",0.0990,Very Low,#757575,15.0
20,"#21","Phase Noise Influence in Coherent Optical OFDM Systems with ",0.0933,Very Low,#757575,14.7
21,"#22","Fast Quantum Modular Exponentiation Architecture for Shor s ",0.0933,Very Low,#757575,14.7
22,"#23","Increasing the detectability of long-period and nulling puls",0.0911,Very Low,#757575,14.6
23,"#24","Space-Efficient and Noise-Robust Quantum Factoring",0.0911,Very Low,#757575,14.6
24,"#25","Fast Fourier Transform periodic interpolation method for sup",0.0895,Very Low,#757575,14.5
25,"#26","Regular dessins with primitive automorphism groups",0.0857,Very Low,#757575,14.3
26,"#27","An Improved QFT-Based Quantum Comparator and Extended Modula",0.0800,Very Low,#757575,14.0
27,"#28","CHIME FRB An application of FFT beamforming for a radio tele",0.0800,Very Low,#757575,14.0
28,"#29","Constant-Optimized Quantum Circuits for Modular Multiplicati",0.0800,Very Low,#757575,14.0
29,"#30","Efficient FFT Computation in IFDMA Transceivers",0.0800,Very Low,#757575,14.0
30,"#31","Eigendecomposition-Based Partial FFT Demodulation for Differ",0.0800,Very Low,#757575,14.0
31,"#32","End-to-End Deep Learning in Phase Noisy Coherent Optical Lin",0.0800,Very Low,#757575,14.0
